growth_rate,Conductance,Time_s,Temperature ( in C ),Catalyst Layer Thickness ( in nm ),Run_ID,Status_of_Exp,,,,,
4.391,0.000225699,650,625,2,1,Success,,,,,
4.061,0.000221569,652,625,2,1,Success,,,,,
4.074,0.000222506,654,625,2,1,Success,,,,,
5.298,0.000222481,656,625,2,1,Success,,,,,
5.14,0.00022155,658,625,2,1,Success,,,,,
4.09,0.000222208,660,625,2,1,Success,,,,,
4.265,0.000222704,662,625,2,1,Success,,,,,
4.658,0.000222517,664,625,2,1,Success,,,,,
4.616,0.000222139,666,625,2,1,Success,,,,,
4.283,0.000222451,668,625,2,1,Success,,,,,
3.949,0.000222736,670,625,2,1,Success,,,,,
4.17,0.000220461,672,625,2,1,Success,,,,,
4.588,0.000221025,674,625,2,1,Success,,,,,
4.682,0.000222493,676,625,2,1,Success,,,,,
4.433,0.000221962,678,625,2,1,Success,,,,,
4.005,0.00022157,680,625,2,1,Success,,,,,
4.078,0.00022155,682,625,2,1,Success,,,,,
4.492,0.000221268,684,625,2,1,Success,,,,,
4.727,0.000221408,686,625,2,1,Success,,,,,
5.06,0.000220167,688,625,2,1,Success,,,,,
4.806,0.000221303,690,625,2,1,Success,,,,,
4.728,0.000221496,692,625,2,1,Success,,,,,
4.718,0.00022081,694,625,2,1,Success,,,,,
4.343,0.000220944,696,625,2,1,Success,,,,,
3.967,0.00022036,698,625,2,1,Success,,,,,
4.12,0.000221678,700,625,2,1,Success,,,,,
4.581,0.000221339,702,625,2,1,Success,,,,,
4.746,0.000221057,704,625,2,1,Success,,,,,
4.528,0.000220944,706,625,2,1,Success,,,,,
4.194,0.000221529,708,625,2,1,Success,,,,,
3.911,0.000219926,710,625,2,1,Success,,,,,
4.387,0.000221349,712,625,2,1,Success,,,,,
4.689,0.000225626,714,625,2,1,Success,,,,,
4.713,0.00022199,716,625,2,1,Success,,,,,
4.307,0.000221154,718,625,2,1,Success,,,,,
3.85,0.000220742,720,625,2,1,Success,,,,,
5.159,0.000220889,722,625,2,1,Success,,,,,
5.352,0.000222161,724,625,2,1,Success,,,,,
4.185,0.000222915,726,625,2,1,Success,,,,,
3.904,0.000222224,728,625,2,1,Success,,,,,
4.401,0.00022101,730,625,2,1,Success,,,,,
4.728,0.000221177,732,625,2,1,Success,,,,,
4.723,0.000220897,734,625,2,1,Success,,,,,
4.332,0.000221201,736,625,2,1,Success,,,,,
4.032,0.00022134,738,625,2,1,Success,,,,,
4.106,0.000220335,740,625,2,1,Success,,,,,
4.469,0.000220753,742,625,2,1,Success,,,,,
4.723,0.00022209,744,625,2,1,Success,,,,,
4.555,0.000221544,746,625,2,1,Success,,,,,
4.228,0.000222212,748,625,2,1,Success,,,,,
3.946,0.000221477,750,625,2,1,Success,,,,,
4.184,0.000222287,752,625,2,1,Success,,,,,
5.38,0.00022307,754,625,2,1,Success,,,,,
5.061,0.000222817,756,625,2,1,Success,,,,,
4.033,0.000221447,758,625,2,1,Success,,,,,
4.346,0.000221893,760,625,2,1,Success,,,,,
4.674,0.000221126,762,625,2,1,Success,,,,,
4.657,0.00022065,764,625,2,1,Success,,,,,
4.383,0.000224218,766,625,2,1,Success,,,,,
4.067,0.000221692,768,625,2,1,Success,,,,,
4.16,0.000221961,770,625,2,1,Success,,,,,
4.432,0.000221868,772,625,2,1,Success,,,,,
4.661,0.000225048,774,625,2,1,Success,,,,,
4.597,0.000222304,776,625,2,1,Success,,,,,
4.171,0.000222521,778,625,2,1,Success,,,,,
3.842,0.000223229,780,625,2,1,Success,,,,,
4.24,0.000222948,782,625,2,1,Success,,,,,
4.632,0.000222467,784,625,2,1,Success,,,,,
5.295,0.000223236,786,625,2,1,Success,,,,,
4.763,0.000222558,788,625,2,1,Success,,,,,
4.155,0.000223181,790,625,2,1,Success,,,,,
4.612,0.00022241,792,625,2,1,Success,,,,,
4.626,0.000222329,794,625,2,1,Success,,,,,
4.54,0.000221363,796,625,2,1,Success,,,,,
4.204,0.000222198,798,625,2,1,Success,,,,,
4.012,0.000222115,800,625,2,1,Success,,,,,
4.363,0.000222433,802,625,2,1,Success,,,,,
4.603,0.000222135,804,625,2,1,Success,,,,,
4.629,0.000223059,806,625,2,1,Success,,,,,
4.333,0.000222591,808,625,2,1,Success,,,,,
4.088,0.000222656,810,625,2,1,Success,,,,,
4.152,0.000222977,812,625,2,1,Success,,,,,
4.415,0.000222661,814,625,2,1,Success,,,,,
4.592,0.00022201,816,625,2,1,Success,,,,,
4.539,0.000222552,818,625,2,1,Success,,,,,
4.957,0.00022224,820,625,2,1,Success,,,,,
5.053,0.000222673,822,625,2,1,Success,,,,,
4.677,0.000222365,824,625,2,1,Success,,,,,
4.567,0.000222011,826,625,2,1,Success,,,,,
4.215,0.000222794,828,625,2,1,Success,,,,,
4.196,0.000222128,830,625,2,1,Success,,,,,
4.214,0.000222398,832,625,2,1,Success,,,,,
4.374,0.000222237,834,625,2,1,Success,,,,,
4.536,0.000221622,836,625,2,1,Success,,,,,
4.559,0.000222447,838,625,2,1,Success,,,,,
4.319,0.000222573,840,625,2,1,Success,,,,,
4.024,0.000222379,842,625,2,1,Success,,,,,
4.143,0.000222851,844,625,2,1,Success,,,,,
4.42,0.000222329,846,625,2,1,Success,,,,,
4.57,0.000222249,848,625,2,1,Success,,,,,
4.575,0.000222053,850,625,2,1,Success,,,,,
4.901,0.000223134,852,625,2,1,Success,,,,,
4.94,0.000223584,854,625,2,1,Success,,,,,
4.679,0.000222272,856,625,2,1,Success,,,,,
4.627,0.000222574,858,625,2,1,Success,,,,,
4.413,0.000222051,860,625,2,1,Success,,,,,
4.013,0.000221864,862,625,2,1,Success,,,,,
4.109,0.000221922,864,625,2,1,Success,,,,,
4.256,0.000221222,866,625,2,1,Success,,,,,
4.515,0.000220593,868,625,2,1,Success,,,,,
4.57,0.000220526,870,625,2,1,Success,,,,,
4.39,0.000220693,872,625,2,1,Success,,,,,
4.158,0.000220201,874,625,2,1,Success,,,,,
4.091,0.000224102,876,625,2,1,Success,,,,,
4.276,0.000220234,878,625,2,1,Success,,,,,
4.44,0.000219351,880,625,2,1,Success,,,,,
4.637,0.000219788,882,625,2,1,Success,,,,,
5.021,0.000220322,884,625,2,1,Success,,,,,
4.946,0.000220931,886,625,2,1,Success,,,,,
4.566,0.000220778,888,625,2,1,Success,,,,,
4.488,0.000220824,890,625,2,1,Success,,,,,
4.362,0.000220679,892,625,2,1,Success,,,,,
4.28,0.000220724,894,625,2,1,Success,,,,,
4.126,0.000220415,896,625,2,1,Success,,,,,
4.392,0.000221301,898,625,2,1,Success,,,,,
4.502,0.000220607,900,625,2,1,Success,,,,,
4.456,0.000220461,902,625,2,1,Success,,,,,
4.373,0.000219918,904,625,2,1,Success,,,,,
4.25,0.0002201,906,625,2,1,Success,,,,,
4.302,0.000219789,908,625,2,1,Success,,,,,
4.289,0.000221171,910,625,2,1,Success,,,,,
4.396,0.000219468,912,625,2,1,Success,,,,,
4.568,0.000219505,914,625,2,1,Success,,,,,
4.502,0.000219553,916,625,2,1,Success,,,,,
5,0.000218942,918,625,2,1,Success,,,,,
5.006,0.000219354,920,625,2,1,Success,,,,,
4.543,0.000219291,922,625,2,1,Success,,,,,
4.524,0.000219147,924,625,2,1,Success,,,,,
4.325,0.000218743,926,625,2,1,Success,,,,,
4.154,0.000220271,928,625,2,1,Success,,,,,
4.074,0.000219599,930,625,2,1,Success,,,,,
4.302,0.000219778,932,625,2,1,Success,,,,,
4.578,0.000219488,934,625,2,1,Success,,,,,
4.622,0.000219728,936,625,2,1,Success,,,,,
4.406,0.000218372,938,625,2,1,Success,,,,,
4.133,0.000218674,940,625,2,1,Success,,,,,
4.15,0.000219132,942,625,2,1,Success,,,,,
4.285,0.000217988,944,625,2,1,Success,,,,,
4.499,0.000218619,946,625,2,1,Success,,,,,
4.582,0.000219421,948,625,2,1,Success,,,,,
5.086,0.000218562,950,625,2,1,Success,,,,,
4.902,0.000218217,952,625,2,1,Success,,,,,
4.423,0.000218222,954,625,2,1,Success,,,,,
4.556,0.00021797,956,625,2,1,Success,,,,,
4.478,0.000218177,958,625,2,1,Success,,,,,
4.327,0.000217759,960,625,2,1,Success,,,,,
4.136,0.000217129,962,625,2,1,Success,,,,,
4.168,0.00021749,964,625,2,1,Success,,,,,
4.306,0.000217828,966,625,2,1,Success,,,,,
4.497,0.000217311,968,625,2,1,Success,,,,,
4.503,0.000217683,970,625,2,1,Success,,,,,
4.429,0.000218315,972,625,2,1,Success,,,,,
4.267,0.000217838,974,625,2,1,Success,,,,,
4.108,0.000219695,976,625,2,1,Success,,,,,
4.25,0.000218064,978,625,2,1,Success,,,,,
4.492,0.0002181,980,625,2,1,Success,,,,,
4.648,0.000218768,982,625,2,1,Success,,,,,
5.189,0.000217388,984,625,2,1,Success,,,,,
4.93,0.000217365,986,625,2,1,Success,,,,,
4.321,0.00021809,988,625,2,1,Success,,,,,
